symbol,market_cap
AAPL,3300000000000
MSFT,3000000000000
NVDA,2500000000000
AMZN,1800000000000
META,900000000000
GOOGL,1800000000000
BRK.B,830000000000
TSLA,780000000000
LLY,700000000000
AVGO,650000000000
JPM,560000000000
V,550000000000
UNH,520000000000
XOM,480000000000
MA,480000000000
HD,350000000000
PG,350000000000
KO,270000000000
PEP,260000000000
ORCL,250000000000
ABBV,250000000000
MRK,230000000000
NKE,190000000000
ADBE,230000000000
TMO,200000000000
CRM,190000000000
ACN,180000000000
CSCO,180000000000
MCD,190000000000
INTU,170000000000
